Date,Adj Close,Close,High,Low,Open,Volume,GDP,CPI,industry_type,Company
5/11/2022,16.60521507,16.62999916,17.75300026,16.56800079,17.34700012,2301100,291.359,670167000,MANUFACTURE,NVIDIA
5/12/2022,16.15089226,16.17499924,16.78800011,15.56700039,16.21899986,2301100,291.359,708728000,MANUFACTURE,NVIDIA
5/13/2022,17.67961311,17.70599937,17.9279995,16.59300041,16.78800011,2301100,291.359,670437000,MANUFACTURE,NVIDIA
5/16/2022,17.23827362,17.26399994,17.78800011,17.1060009,17.50900078,2301100,291.359,521446000,MANUFACTURE,NVIDIA
5/17/2022,18.14990807,18.17700005,18.37100029,17.63400078,18.0739994,2301100,291.359,585830000,MANUFACTURE,NVIDIA
5/18/2022,16.91275787,16.93799973,18.11800003,16.86400032,17.70499992,2301100,291.359,545161000,MANUFACTURE,NVIDIA
5/19/2022,17.09848213,17.12400055,17.68700027,16.73399925,16.93700027,2301100,291.359,621310000,MANUFACTURE,NVIDIA
5/20/2022,16.66911888,16.69400024,17.40999985,15.75500011,17.33200073,2301100,291.359,739105000,MANUFACTURE,NVIDIA
5/23/2022,16.87281799,16.89800072,16.91500092,16.17900085,16.27400017,2301100,291.359,639889000,MANUFACTURE,NVIDIA
5/24/2022,16.12992477,16.15399933,16.59700012,15.77999973,16.51000023,2301100,291.359,588550000,MANUFACTURE,NVIDIA
5/25/2022,16.94970131,16.97500038,17.11100006,16,16.02000046,2301100,291.359,781132000,MANUFACTURE,NVIDIA
5/26/2022,17.82439804,17.85099983,18.09199905,16.02199936,16.0359993,2301100,291.359,996575000,MANUFACTURE,NVIDIA
5/27/2022,18.78296471,18.81100082,18.88100052,18.10000038,18.18600082,2301100,291.359,738379000,MANUFACTURE,NVIDIA
5/31/2022,18.64417648,18.67200089,19.20000076,18.35000038,18.97999954,2301100,291.359,664100000,MANUFACTURE,NVIDIA
6/1/2022,18.29270172,18.31999969,19.0529995,18.12199974,18.72400093,2301100,294.996,544514000,MANUFACTURE,NVIDIA
6/2/2022,19.56279945,19.59199905,19.61899948,18.19799995,18.29199982,2301100,294.996,648656000,MANUFACTURE,NVIDIA
6/3/2022,18.69210052,18.71999931,19.33200073,18.52199936,19.08200073,2301100,294.996,598779000,MANUFACTURE,NVIDIA
6/6/2022,18.75800133,18.7859993,19.33699989,18.56399918,19.13899994,2301100,294.996,422406000,MANUFACTURE,NVIDIA
6/7/2022,18.89779663,18.9260006,19,18.18799973,18.47200012,2301100,294.996,388914000,MANUFACTURE,NVIDIA
6/8/2022,18.6241436,18.64800072,19.18000031,18.53499985,18.79899979,2301100,294.996,363252000,MANUFACTURE,NVIDIA
6/9/2022,18.02491379,18.04800034,18.93300056,18.04100037,18.4810009,2301100,294.996,395574000,MANUFACTURE,NVIDIA
6/10/2022,16.95228767,16.97400093,17.6970005,16.86899948,17.60000038,2301100,294.996,465248000,MANUFACTURE,NVIDIA
6/13/2022,15.62698555,15.64700031,16.31200027,15.60599995,16,2301100,294.996,604153000,MANUFACTURE,NVIDIA
6/14/2022,15.81574345,15.83600044,16.06599998,15.4119997,15.73099995,2301100,294.996,469680000,MANUFACTURE,NVIDIA
6/15/2022,16.50586128,16.52700043,16.86800003,15.92599964,16.09499931,2301100,294.996,563936000,MANUFACTURE,NVIDIA
6/16/2022,15.58104324,15.60099983,15.94200039,15.40100002,15.85999966,2301100,294.996,545749000,MANUFACTURE,NVIDIA
6/17/2022,15.85968781,15.88000011,15.99499989,15.32800007,15.64799976,2301100,294.996,630334000,MANUFACTURE,NVIDIA
6/21/2022,16.54481125,16.56599998,17.00799942,16.40699959,16.47500038,2301100,294.996,483089000,MANUFACTURE,NVIDIA
6/22/2022,16.339077,16.36000061,16.66200066,16.18000031,16.22599983,2301100,294.996,437135000,MANUFACTURE,NVIDIA
6/23/2022,16.20424461,16.22500038,16.58499908,15.85299969,16.5189991,2301100,294.996,463680000,MANUFACTURE,NVIDIA
6/24/2022,17.10409355,17.12599945,17.13999939,16.30999947,16.5,2301100,294.996,472153000,MANUFACTURE,NVIDIA
6/27/2022,16.84741974,16.86899948,17.32999992,16.62599945,17.31200027,2301100,294.996,427968000,MANUFACTURE,NVIDIA
6/28/2022,15.96155643,15.98200035,17.20199966,15.94499969,16.89999962,2301100,294.996,461149000,MANUFACTURE,NVIDIA
6/29/2022,15.52211857,15.54199982,15.81999969,15.17000008,15.81400013,2301100,294.996,482352000,MANUFACTURE,NVIDIA
6/30/2022,15.13960838,15.1590004,15.56700039,14.86200047,15.36100006,2301100,294.996,686070000,MANUFACTURE,NVIDIA
7/1/2022,14.50442314,14.52299976,15.06299973,14.3920002,14.89900017,2302390,294.977,577610000,MANUFACTURE,NVIDIA
7/5/2022,14.9448576,14.96399975,14.97099972,14.05500031,14.17500019,2302390,294.977,651397000,MANUFACTURE,NVIDIA
